sort_order,wmo,name[80],history_product[80],local_date_time[80],local_date_time_full[80],aifstime_utc[80],lat,lon,apparent_t,cloud[80],cloud_base_m,cloud_oktas,cloud_type[80],cloud_type_id,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,press_tend[80],rain_trace[80],rel_hum,sea_state[80],swell_dir_worded[80],swell_height,swell_period,vis_km[80],weather[80],wind_dir[80],wind_spd_kmh,wind_spd_kt
0,94569,"Sunshine Coast Airport","IDQ60801","07/11:30am","20240907113000","20240907013000",-26.6,153.1,24.4,"-",-9999,-9999,"-",-9999,6.7,15,8,25.0,13.5,1025.6,1025.6,1025.7,"-","0.0",48,"-","-",-9999.0,-9999,"10","-","N",9,5
1,94569,"Sunshine Coast Airport","IDQ60801","07/11:00am","20240907110000","20240907010000",-26.6,153.1,22.0,"-",-9999,-9999,"-",-9999,7.1,20,11,24.3,11.6,1026.2,1026.2,1026.3,"-","0.0",45,"-","-",-9999.0,-9999,"10","-","NW",15,8
2,94569,"Sunshine Coast Airport","IDQ60801","07/10:30am","20240907103000","20240907003000",-26.6,153.1,21.2,"-",-9999,-9999,"-",-9999,6.7,28,15,24.1,12.4,1026.5,1026.5,1026.6,"-","0.0",48,"-","-",-9999.0,-9999,"10","-","N",19,10
3,94569,"Sunshine Coast Airport","IDQ60801","07/10:00am","20240907100000","20240907000000",-26.6,153.1,21.4,"-",-9999,-9999,"-",-9999,6.6,24,13,23.9,12.2,1026.9,1026.9,1027.0,"-","0.0",48,"-","-",-9999.0,-9999,"10","-","NW",17,9
4,94569,"Sunshine Coast Airport","IDQ60801","07/09:30am","20240907093000","20240906233000",-26.6,153.1,19.8,"-",-9999,-9999,"-",-9999,5.8,26,14,22.8,12.7,1027.4,1027.4,1027.5,"-","0.0",53,"-","-",-9999.0,-9999,"10","-","NW",20,11
5,94569,"Sunshine Coast Airport","IDQ60801","07/09:00am","20240907090000","20240906230000",-26.6,153.1,19.4,"-",-9999,-9999,"-",-9999,4.7,24,13,21.8,13.7,1027.7,1027.7,1027.8,"-","0.0",60,"-","-",-9999.0,-9999,"10","-","NNW",19,10
6,94569,"Sunshine Coast Airport","IDQ60801","07/08:30am","20240907083000","20240906223000",-26.6,153.1,19.7,"-",-9999,-9999,"-",-9999,3.3,15,8,20.3,14.7,1028.0,1028.0,1028.1,"-","0.0",70,"-","-",-9999.0,-9999,"10","-","NW",11,6
7,94569,"Sunshine Coast Airport","IDQ60801","07/08:00am","20240907080000","20240906220000",-26.6,153.1,18.1,"-",-9999,-9999,"-",-9999,1.9,13,7,18.2,14.9,1027.9,1027.9,1028.0,"-","0.0",81,"-","-",-9999.0,-9999,"10","-","NW",9,5
8,94569,"Sunshine Coast Airport","IDQ60801","07/07:30am","20240907073000","20240906213000",-26.6,153.1,15.0,"-",-9999,-9999,"-",-9999,0.6,15,8,15.9,14.9,1027.6,1027.6,1027.7,"-","0.0",94,"-","-",-9999.0,-9999,"10","-","WNW",13,7
9,94569,"Sunshine Coast Airport","IDQ60801","07/07:00am","20240907070000","20240906210000",-26.6,153.1,12.9,"-",-9999,-9999,"-",-9999,0.3,13,7,13.9,13.3,1027.3,1027.3,1027.4,"-","0.0",96,"-","-",-9999.0,-9999,"10","-","WNW",11,6
10,94569,"Sunshine Coast Airport","IDQ60801","07/06:30am","20240907063000","20240906203000",-26.6,153.1,10.5,"-",-9999,-9999,"-",-9999,0.3,13,7,12.1,11.5,1027.0,1027.0,1027.1,"-","0.0",96,"-","-",-9999.0,-9999,"10","-","WNW",11,6
11,94569,"Sunshine Coast Airport","IDQ60801","07/06:00am","20240907060000","20240906200000",-26.6,153.1,8.6,"-",-9999,-9999,"-",-9999,0.4,13,7,11.0,10.2,1026.6,1026.6,1026.7,"-","0.0",95,"-","-",-9999.0,-9999,"10","-","WNW",13,7
12,94569,"Sunshine Coast Airport","IDQ60801","07/05:30am","20240907053000","20240906193000",-26.6,153.1,8.6,"-",-9999,-9999,"-",-9999,0.4,13,7,10.7,9.9,1026.4,1026.4,1026.5,"-","0.0",95,"-","-",-9999.0,-9999,"10","-","WNW",11,6
13,94569,"Sunshine Coast Airport","IDQ60801","07/05:00am","20240907050000","20240906190000",-26.6,153.1,9.4,"-",-9999,-9999,"-",-9999,0.4,11,6,11.0,10.2,1026.3,1026.3,1026.4,"-","0.0",95,"-","-",-9999.0,-9999,"10","-","WNW",9,5
14,94569,"Sunshine Coast Airport","IDQ60801","07/04:30am","20240907043000","20240906183000",-26.6,153.1,9.4,"-",-9999,-9999,"-",-9999,0.5,11,6,11.0,10.1,1026.0,1026.0,1026.1,"-","0.0",94,"-","-",-9999.0,-9999,"10","-","WNW",9,5
15,94569,"Sunshine Coast Airport","IDQ60801","07/04:00am","20240907040000","20240906180000",-26.6,153.1,10.0,"-",-9999,-9999,"-",-9999,0.4,13,7,11.8,11.0,1025.8,1025.8,1025.9,"-","0.0",95,"-","-",-9999.0,-9999,"10","-","WNW",11,6
16,94569,"Sunshine Coast Airport","IDQ60801","07/03:30am","20240907033000","20240906173000",-26.6,153.1,9.3,"-",-9999,-9999,"-",-9999,0.4,15,8,11.5,10.7,1025.7,1025.7,1025.8,"-","0.0",95,"-","-",-9999.0,-9999,"10","-","WNW",13,7
17,94569,"Sunshine Coast Airport","IDQ60801","07/03:00am","20240907030000","20240906170000",-26.6,153.1,9.4,"-",-9999,-9999,"-",-9999,0.5,11,6,11.3,10.4,1026.0,1026.0,1026.1,"-","0.0",94,"-","-",-9999.0,-9999,"10","-","WNW",11,6
18,94569,"Sunshine Coast Airport","IDQ60801","07/02:30am","20240907023000","20240906163000",-26.6,153.1,10.6,"-",-9999,-9999,"-",-9999,0.4,13,7,12.2,11.4,1026.2,1026.2,1026.3,"-","0.0",95,"-","-",-9999.0,-9999,"10","-","WNW",11,6
19,94569,"Sunshine Coast Airport","IDQ60801","07/02:00am","20240907020000","20240906160000",-26.6,153.1,10.1,"-",-9999,-9999,"-",-9999,0.5,13,7,11.9,11.0,1026.4,1026.4,1026.5,"-","0.0",94,"-","-",-9999.0,-9999,"10","-","WNW",11,6
20,94569,"Sunshine Coast Airport","IDQ60801","07/01:30am","20240907013000","20240906153000",-26.6,153.1,10.4,"-",-9999,-9999,"-",-9999,0.5,13,7,12.4,11.5,1026.6,1026.6,1026.7,"-","0.0",94,"-","-",-9999.0,-9999,"10","-","WNW",13,7
21,94569,"Sunshine Coast Airport","IDQ60801","07/01:00am","20240907010000","20240906150000",-26.6,153.1,10.5,"-",-9999,-9999,"-",-9999,0.5,13,7,12.5,11.6,1026.8,1026.8,1026.9,"-","0.0",94,"-","-",-9999.0,-9999,"10","-","WNW",13,7
22,94569,"Sunshine Coast Airport","IDQ60801","07/12:30am","20240907003000","20240906143000",-26.6,153.1,11.0,"-",-9999,-9999,"-",-9999,0.6,13,7,12.6,11.5,1027.0,1027.0,1027.1,"-","0.0",93,"-","-",-9999.0,-9999,"10","-","NW",11,6
23,94569,"Sunshine Coast Airport","IDQ60801","07/12:00am","20240907000000","20240906140000",-26.6,153.1,11.3,"-",-9999,-9999,"-",-9999,0.7,13,7,12.9,11.6,1027.2,1027.2,1027.3,"-","0.0",92,"-","-",-9999.0,-9999,"10","-","WNW",11,6
