name[80],local_date_time_full[80],aifstime_utc[80],lat,lon,apparent_t,cloud_base_m,cloud_oktas,cloud_type_id,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,rain_trace[80],rel_hum,swell_height,swell_period,wind_dir[80],wind_spd_kmh,wind_spd_kt
Sunshine Coast Airport,20240907113000,20240907013000,-26.6,153.1,24.4,-9999,-9999,-9999,6.7,15,8,25.0,13.5,1025.6,1025.6,1025.7,0.0,48,-9999.0,-9999,N,9,5
Sunshine Coast Airport,20240907110000,20240907010000,-26.6,153.1,22.0,-9999,-9999,-9999,7.1,20,11,24.3,11.6,1026.2,1026.2,1026.3,0.0,45,-9999.0,-9999,NW,15,8
Sunshine Coast Airport,20240907103000,20240907003000,-26.6,153.1,21.2,-9999,-9999,-9999,6.7,28,15,24.1,12.4,1026.5,1026.5,1026.6,0.0,48,-9999.0,-9999,N,19,10
Sunshine Coast Airport,20240907100000,20240907000000,-26.6,153.1,21.4,-9999,-9999,-9999,6.6,24,13,23.9,12.2,1026.9,1026.9,1027.0,0.0,48,-9999.0,-9999,NW,17,9
Sunshine Coast Airport,20240907093000,20240906233000,-26.6,153.1,19.8,-9999,-9999,-9999,5.8,26,14,22.8,12.7,1027.4,1027.4,1027.5,0.0,53,-9999.0,-9999,NW,20,11
Sunshine Coast Airport,20240907090000,20240906230000,-26.6,153.1,19.4,-9999,-9999,-9999,4.7,24,13,21.8,13.7,1027.7,1027.7,1027.8,0.0,60,-9999.0,-9999,NNW,19,10
Sunshine Coast Airport,20240907083000,20240906223000,-26.6,153.1,19.7,-9999,-9999,-9999,3.3,15,8,20.3,14.7,1028.0,1028.0,1028.1,0.0,70,-9999.0,-9999,NW,11,6
Sunshine Coast Airport,20240907080000,20240906220000,-26.6,153.1,18.1,-9999,-9999,-9999,1.9,13,7,18.2,14.9,1027.9,1027.9,1028.0,0.0,81,-9999.0,-9999,NW,9,5
Sunshine Coast Airport,20240907073000,20240906213000,-26.6,153.1,15.0,-9999,-9999,-9999,0.6,15,8,15.9,14.9,1027.6,1027.6,1027.7,0.0,94,-9999.0,-9999,WNW,13,7
Sunshine Coast Airport,20240907070000,20240906210000,-26.6,153.1,12.9,-9999,-9999,-9999,0.3,13,7,13.9,13.3,1027.3,1027.3,1027.4,0.0,96,-9999.0,-9999,WNW,11,6
