Location name,Lat (GDA94),Long (GDA94),Survey date,Depth (m),Chlorophyll a (ug/L),Secchi depth (metres),Total N (mg/L),Ammonia (mg/L),Organic N (mg/L),NOx (mg/L),DO (mg/L),DO saturation (%),pH (Unit),Pheopigments (ug/L),FRP (mg/L),Total P (mg/L),Salinity (g/L),Conductivity (mS/cm),Temp (deg C),Turbidity (NTU)
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2000-08-15,0.2,1.1,2.9,0.18,0.003,0.175,< 0.002,8.6,112.2,8.17,< 0.5,0.058,0.072,34.4,52.2,18.06,3.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2000-08-15,0.2,1.1,2.7,0.17,< 0.002,0.166,< 0.002,8.8,113.6,8.19,< 0.5,0.05,0.065,34.6,52.5,17.92,4.0
MORETON BAY GRID REFERENCE 100790 (105795) (107900) (EHMP) SITE 919,-27.306723,153.106036,2000-08-15,0.2,0.9,3.8,0.15,< 0.002,0.146,< 0.002,9.1,117.9,8.22,< 0.5,0.04,0.052,34.7,52.6,17.91,1.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2000-09-12,0.2,1.5,1.7,0.17,< 0.002,0.166,< 0.002,6.8,91.8,7.99,< 0.5,0.036,0.054,35.7,53.9,19.4,7.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2000-09-12,0.2,1.6,1.3,0.28,0.027,0.225,0.028,7.0,94.8,7.92,1.1,0.068,0.09,35.1,53.2,20.04,8.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2000-09-12,0.2,2.1,1.5,0.29,0.022,0.23,0.038,7.0,93.7,7.87,0.9,0.082,0.1,34.5,52.4,19.97,8.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2000-09-12,0.2,2.5,1.6,0.52,0.068,0.302,0.15,6.7,90.2,7.64,< 0.5,0.15,0.18,32.1,49.1,20.49,5.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2000-09-12,0.2,3.1,1.3,0.77,0.13,0.4,0.24,5.6,74.2,7.36,< 0.5,0.23,0.26,29.8,45.9,21.03,7.0
NORTH PINE RIVER GRID REF 062823 AT HORNIBROOK HY BR (00-030) (EHMP 800),-27.27751,153.063226,2000-10-12,0.2,5.5,0.4,0.27,0.011,0.249,0.01,6.9,97.0,7.84,3.8,0.033,0.082,36.4,54.9,21.85,35.0
NORTH PINE RIVER 2.4km FROM MOUTH AT DOHLES ROCKS (EHMP 801),-27.279375,153.040314,2000-10-12,0.2,6.3,0.6,0.28,0.012,0.257,0.011,7.0,97.5,7.74,2.6,0.04,0.08,35.9,54.2,21.6,24.0
NORTH PINE RIVER 5.5km FROM MOUTH 100m U/S OF DEEPWATER BEND (EHMP) SITE 802,-27.298117,153.035287,2000-10-12,0.2,4,0.6,0.36,0.042,0.28,0.038,6.7,93.5,7.72,3.7,0.069,0.11,36.0,54.3,21.72,34.0
NTH PINE RIVER 7.2km FROM MOUTH JCN WITH STH PINE RIVER (EHMP 803),-27.286379,153.014881,2000-10-12,0.2,4,1,0.51,0.075,0.335,0.1,5.6,80.2,7.55,1.2,0.15,0.18,33.7,51.3,23.99,12.0
NTH PINE RIVER 10.5km from mouth above Junction Yebri Creek (EHMP 804),-27.268849,152.991863,2000-10-12,0.2,1.6,1,0.68,0.089,0.411,0.18,5.0,71.5,7.41,< 0.5,0.24,0.28,31.5,48.3,24.47,10.0
HAYS INLET HORNIBROOK HIGHWAY BRIDGE (EHMP) SITE 900,-27.264333,153.079957,2000-10-13,0.2,8.3,0.7,0.3,0.025,0.258,0.017,7.1,100.3,8.17,2.4,0.038,0.075,36.5,55.0,22.2,13.0
MORETON BAY GRID REFERENCE 080820 (088200) (EHMP) SITE 916,-27.27839,153.087709,2000-10-13,0.2,6.4,1.2,0.45,0.079,0.363,0.008,7.0,100.7,8.24,2.7,0.068,0.12,36.3,54.7,22.8,6.0
