dev_id,datetime,F1 - peopleLeft/Up,F2 - peopleRight/Down,F3 - bikesLeft/Up,F4 - bikesRight/Down,F5 - carsLeft/Up,F6 - carsRight/Down,F7 - busesLeft/Up,F8 - busesRight/Down,F9 - trucksLeft/Up,F10 - trucksRight/Down
alphax-1692,2023-02-08 04:00:00,31,30,0,0,148,110,0,0,1,1
alphax-1692,2023-02-08 05:00:00,31,19,0,1,53,74,3,2,6,2
alphax-1692,2023-02-08 06:00:00,19,18,6,2,48,63,1,0,8,2
alphax-1692,2023-02-08 07:00:00,7,5,2,1,48,33,0,0,4,0
alphax-1692,2023-02-08 08:00:00,5,3,1,1,25,14,0,0,0,0
alphax-1692,2023-02-08 09:00:00,0,0,0,0,2,2,0,0,0,0
alphax-1692,2023-02-08 10:00:00,0,1,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 11:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 12:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 13:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 14:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 15:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 16:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 17:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 18:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-08 19:00:00,1,3,0,0,1,3,0,0,1,0
alphax-1692,2023-02-08 20:00:00,6,7,0,1,11,26,0,0,1,0
alphax-1692,2023-02-08 21:00:00,16,12,0,1,48,51,0,0,5,2
alphax-1692,2023-02-08 22:00:00,43,48,1,0,55,79,0,0,9,7
alphax-1692,2023-02-08 23:00:00,11,14,1,4,78,88,0,0,1,0
alphax-1692,2023-02-09 00:00:00,38,26,1,0,50,57,1,0,5,1
alphax-1692,2023-02-09 01:00:00,16,10,0,0,36,70,0,0,7,2
alphax-1692,2023-02-09 02:00:00,4,16,0,0,6,10,1,3,5,1
alphax-1692,2023-02-09 03:00:00,15,15,0,1,41,39,0,0,3,2
alphax-1692,2023-02-09 04:00:00,24,18,0,0,20,17,0,1,2,1
alphax-1692,2023-02-09 05:00:00,10,11,0,0,23,40,0,0,1,0
alphax-1692,2023-02-09 06:00:00,12,16,4,4,77,117,0,0,2,0
alphax-1692,2023-02-09 07:00:00,8,9,2,0,84,37,0,0,5,0
alphax-1692,2023-02-09 08:00:00,6,12,0,1,45,41,0,0,1,1
alphax-1692,2023-02-09 09:00:00,1,2,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 10:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 11:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 12:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 13:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 14:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 15:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 16:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 17:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 18:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-09 19:00:00,6,3,0,0,0,6,0,0,0,0
alphax-1692,2023-02-09 20:00:00,6,8,0,0,14,46,0,0,6,1
alphax-1692,2023-02-09 21:00:00,10,16,0,0,40,28,0,0,7,3
alphax-1692,2023-02-09 22:00:00,26,20,0,1,44,66,0,0,2,0
alphax-1692,2023-02-09 23:00:00,11,17,0,0,72,72,1,0,9,3
alphax-1692,2023-02-10 00:00:00,11,11,1,1,49,49,0,0,2,0
alphax-1692,2023-02-10 01:00:00,24,16,1,1,35,45,1,0,6,0
alphax-1692,2023-02-10 02:00:00,6,3,0,1,54,56,1,0,5,0
alphax-1692,2023-02-10 03:00:00,5,4,0,0,24,36,0,0,2,1
alphax-1692,2023-02-10 04:00:00,3,1,0,0,7,5,0,0,0,0
alphax-1692,2023-02-10 05:00:00,7,8,0,1,38,32,0,0,2,0
alphax-1692,2023-02-10 06:00:00,15,13,2,2,27,52,0,0,0,0
alphax-1692,2023-02-10 07:00:00,15,8,1,0,85,107,0,0,1,0
alphax-1692,2023-02-10 08:00:00,12,7,5,1,31,32,0,0,3,0
alphax-1692,2023-02-10 09:00:00,0,1,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 10:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 11:00:00,1,1,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 12:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 13:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 14:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 15:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 16:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 17:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 18:00:00,0,0,0,0,0,0,0,0,0,0
alphax-1692,2023-02-10 19:00:00,9,11,1,1,6,13,0,0,0,0
alphax-1692,2023-02-10 20:00:00,4,3,1,0,36,43,0,0,1,1
alphax-1692,2023-02-10 21:00:00,15,21,3,3,90,69,0,0,1,0
alphax-1692,2023-02-10 22:00:00,15,10,0,2,54,36,0,0,4,0
alphax-1692,2023-02-10 23:00:00,14,12,0,3,50,40,0,0,6,0
alphax-1692,2023-02-11 00:00:00,10,7,0,0,48,53,0,0,4,0
alphax-1692,2023-02-11 01:00:00,10,10,0,3,52,85,1,0,2,0
alphax-1692,2023-02-11 02:00:00,9,7,2,1,52,40,0,0,2,0
alphax-1692,2023-02-11 03:00:00,12,9,0,0,44,62,0,0,4,0
alphax-1692,2023-02-11 04:00:00,12,12,0,0,75,51,0,0,1,0
alphax-1692,2023-02-11 05:00:00,12,7,4,0,42,48,0,0,4,2
alphax-1692,2023-02-11 06:00:00,9,3,0,0,17,12,0,0,2,0
