_id,Description,Sample Description,Sample No.,Date Sample Collected,Comments,Sample Matrix Code,Sample Matrix,Sample Type (comp./grab),Sample Collected by,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
1,"","",,,"","","","","","",TEMPERATURE,DO,PH,E.Cond.,"",Salinity (Field),ECOLI,FAECAL_COLI_MF,ENTEROCOCCI,CHLOROPHYLL_A,"",BOD,SUSPENDED_SOLI,TOC,AMMONIA_N,NOX,ORTHO_P,TN_PERSULPHATE,TP_PERSULPHATE,TKN
2,Units,"",,,"","","","","","",oC,mg/L,pH Units,us/cm,m,ppt,cfu/100mL,cfu/100mL,cfu/100mL,ug/L,ratio,mg/L,mg/L,mg/L C,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
3,PQL,"",,,"","","","","","","",0.1,2,5,"",0.1,1,1,1,1,"",3,2,0.5,0.005,0.005,0.005,0.01,0.01,0.01
4,Method,"",,,"","","","","","",FM10,FM02,FM03,FM01,FM12 *,FM07,MM02,MM02,MM08,CM37,CM37,CM02,CM12,CM36,CM22,CM22,CM22,CM23,CM23,CM23
5,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2014-02-20T00:00:00,"","","",Grab,Sampler 1,07:45:00,28.9,5.7,7.6,47800,0.8,31.1,5 EST,23,5 EST,7.5,1.1,<3,18,13,<0.005,<0.005,0.068,0.43,0.12,0.43
6,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2014-02-20T00:00:00,"","","",Grab,Sampler 1,07:55:00,29,5,7.7,49300,0,32.2,"","","","","",<3,"",14,<0.005,<0.005,"",0.39,"",0.39
7,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2014-02-20T00:00:00,"","","",Grab,Sampler 1,08:13:00,28.9,4.7,7.6,47300,0.8,30.8,5 EST,28,2 EST,7.5,1.1,<3,27,12,<0.005,<0.005,0.078,0.42,0.13,0.42
8,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2014-02-20T00:00:00,"","","",Grab,Sampler 1,08:20:00,29.2,4.6,7.6,47800,0,31.1,"","","","","",<3,"",14,<0.005,<0.005,"",0.39,"",0.39
9,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2014-02-20T00:00:00,"","","",Grab,Sampler 1,08:40:00,29.2,4.2,7.5,45100,0.8,29.2,8 EST,35,3 EST,8.5,1.1,<3,25,16,<0.005,<0.005,0.087,0.43,0.14,0.43
10,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2014-02-20T00:00:00,"","","",Grab,Sampler 1,08:47:00,29.2,4.5,7.6,47200,0,30.7,"","","","","",<3,"",15,<0.005,<0.005,"",0.44,"",0.44
11,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2014-02-20T00:00:00,"","","",Grab,Sampler 1,09:00:00,29.4,5.4,7.5,44100,0.9,28.5,6 EST,39,4 EST,7.5,1.1,<3,29,13,<0.005,<0.005,0.084,0.44,0.14,0.44
12,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2014-02-20T00:00:00,"","","",Grab,Sampler 1,09:10:00,29.3,5.3,7.6,46400,0,30.1,"","","","","",<3,"",12,<0.005,<0.005,"",0.45,"",0.45
13,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2014-02-20T00:00:00,"","","",Grab,Sampler 1,09:40:00,29.5,6.9,7.5,42700,0.9,27.4,10,23,2 EST,12,1.1,<3,21,14,<0.005,<0.005,0.13,0.47,0.19,0.47
14,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2014-02-20T00:00:00,"","","",Grab,Sampler 1,09:50:00,29.3,7.1,7.6,46800,0,30.4,"","","","","",<3,"",13,<0.005,<0.005,"",0.46,"",0.46
15,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2014-02-20T00:00:00,"","","",Grab,Sampler 1,10:10:00,29.5,4.8,7.5,45000,0.9,29.1,11,30,<1,11,1.1,<3,30,15,<0.005,<0.005,0.087,0.48,0.14,0.48
16,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2014-02-20T00:00:00,"","","",Grab,Sampler 1,10:15:00,29.4,4.2,7.5,45200,0,29.3,"","","","","",<3,"",13,<0.005,<0.005,"",0.46,"",0.46
17,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2014-02-20T00:00:00,"","","",Grab,Sampler 1,10:35:00,29.6,4.3,7.4,42900,0.9,27.6,3 EST,20,1 EST,13,1.1,<3,18,13,<0.005,<0.005,0.071,0.47,0.13,0.47
18,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2014-02-20T00:00:00,"","","",Grab,Sampler 1,10:43:00,29.7,4.3,7.5,43100,0,27.7,"","","","","",<3,"",14,<0.005,<0.005,"",0.46,"",0.46
19,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2014-02-20T00:00:00,"","","",Grab,Sampler 1,11:00:00,30.2,5.6,7.5,40400,0.9,25.8,13,25,<1,14,1.2,<3,12,14,<0.005,<0.005,0.053,0.44,0.11,0.44
20,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2014-02-20T00:00:00,"","","",Grab,Sampler 1,11:07:00,29.6,4.4,7.4,41500,0,26.6,"","","","","",<3,"",13,0.012,<0.005,"",0.5,"",0.5
21,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2014-02-20T00:00:00,"","","",Grab,Sampler 1,12:10:00,30.9,7.5,7.4,886,"",0.4,<1,1 EST,<1,1.1,1,<3,3,17,0.019,0.026,1.42,0.96,1.57,0.93
22,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2014-03-05T00:00:00,"","","",Grab,Sampler 1,07:45:00,25.9,6,7.6,48500,0.7,31.6,4 EST,4 EST,2 EST,5.3,1.1,3,16,14,0.01,<0.005,0.064,0.5,0.13,0.5
23,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2014-03-05T00:00:00,"","","",Grab,Sampler 1,07:45:00,25.7,5.7,7.7,50500,"",31.1,"","","","","",3,"",16,0.012,<0.005,"",0.44,"",0.44
